,Name,Year_of_Birth,Most_Common_Pronoun
565,Bedřich Smetana,1878.0,Male Pronouns
566,Faryl Smith,1995.0,Female Pronouns
567,Georg Solti,1975.0,Male Pronouns
568,Adele Spitzeder,1832.0,Female Pronouns
569,Jo Stafford,1917.0,Female Pronouns
570,Charles Villiers Stanford,1921.0,Male Pronouns
571,Ringo Starr,1973.0,Male Pronouns
572,Gwen Stefani,1969.0,Female Pronouns
573,Stereolab,1990.0,Plural or Non-binary Pronouns
574,Strapping Young Lad,1995.0,Male Pronouns
575,Arthur Sullivan,1888.0,Male Pronouns
576,The Supremes,1960.0,Plural or Non-binary Pronouns
577,Taylor Swift,1989.0,Female Pronouns
578,Joseph Szigeti,1892.0,Male Pronouns
579,Toru Takemitsu,1930.0,Male Pronouns
580,Pyotr Ilyich Tchaikovsky,1840.0,Male Pronouns
581,Pyotr Ilyich Tchaikovsky and the Belyayev circle,1887.0,Male Pronouns
582,Pyotr Ilyich Tchaikovsky and The Five,1869.0,Male Pronouns
583,Michael Tippett,1905.0,Male Pronouns
584,Tool (band),2001.0,Plural or Non-binary Pronouns
585,U2,2000.0,Plural or Non-binary Pronouns
586,Uncle Tupelo,1987.0,Plural or Non-binary Pronouns
587,Cosima Wagner,1837.0,Female Pronouns
588,Richard Wagner,1871.0,Male Pronouns
589,William Walton,1937.0,Male Pronouns
590,Peter Warlock,1894.0,Male Pronouns
591,Roger Waters,1943.0,Male Pronouns
592,The Wiggles,2006.0,Plural or Non-binary Pronouns
593,Wilco,1994.0,Plural or Non-binary Pronouns
594,Ralph Vaughan Williams,1920.0,Male Pronouns
595,Henry Wood,1906.0,Male Pronouns
596,Frank Zappa,1940.0,Male Pronouns
597,Eric A. Havelock,1903.0,Male Pronouns
598,Hilary Putnam,1926.0,Male Pronouns
599,William S. Sadler,1875.0,Male Pronouns
600,Bernard Williams,1929.0,Male Pronouns
601,Buzz Aldrin,1930.0,Male Pronouns
602,Neil Armstrong,1930.0,Male Pronouns
603,Niels Bohr,1885.0,Male Pronouns
604,Frank Borman,1928.0,Male Pronouns
605,James Chadwick,1891.0,Male Pronouns
606,Michael Collins (astronaut),1930.0,Male Pronouns
607,Jürgen Ehlers,1929.0,Male Pronouns
608,Enrico Fermi,1901.0,Male Pronouns
609,Richard Feynman,1918.0,Male Pronouns
610,Ben Gascoigne,1915.0,Male Pronouns
611,Josiah Willard Gibbs,1839.0,Male Pronouns
612,Johannes Kepler,1571.0,Male Pronouns
613,George Koval,1913.0,Male Pronouns
614,Mark Oliphant,1901.0,Male Pronouns
615,Mercury Seven,1961.0,Male Pronouns
616,Gerard K. O&#39;Neill,1927.0,Male Pronouns
617,J. Robert Oppenheimer,1904.0,Male Pronouns
618,Oppenheimer security hearing,1954.0,Male Pronouns
619,Isidor Isaac Rabi,1898.0,Male Pronouns
620,David Scott,1932.0,Male Pronouns
621,Louis Slotin,1910.0,Male Pronouns
622,Edward Teller,1908.0,Male Pronouns
623,Zhang Heng,144.0,Male Pronouns
624,John Adair,1757.0,Male Pronouns
625,John Adams,1826.0,Male Pronouns
626,Spiro Agnew,1918.0,Male Pronouns
627,Yasser Arafat,1929.0,Male Pronouns
628,Carlos Castillo Armas,1914.0,Male Pronouns
629,Chester A. Arthur,1829.0,Male Pronouns
630,Alexandre Banza,1932.0,Male Pronouns
631,Alben W. Barkley,1877.0,Male Pronouns
632,Thomas F. Bayard,1828.0,Male Pronouns
633,Hugh Beadle,1905.0,Male Pronouns
634,J. C. W. Beckham,1869.0,Male Pronouns
635,Judah P. Benjamin,1811.0,Male Pronouns
636,Steve Biko,1946.0,Male Pronouns
637,Luke P. Blackburn,1816.0,Male Pronouns
638,Barthélemy Boganda,1910.0,Male Pronouns
639,Jean Bolikango,1982.0,Male Pronouns
640,Margaret Bondfield,1873.0,Female Pronouns
641,William Borah,1865.0,Male Pronouns
642,Horatio Bottomley,1860.0,Male Pronouns
643,William O&#39;Connell Bradley,1847.0,Male Pronouns
644,Bessie Braddock,1899.0,Female Pronouns
645,John C. Breckinridge,1821.0,Male Pronouns
646,Political career of John C. Breckinridge,1856.0,Male Pronouns
647,"John Y. Brown (politician, born 1835)",1835.0,Male Pronouns
648,John Edward Brownlee as Attorney-General of Alberta,1921.0,Male Pronouns
649,Stanley Bruce,1883.0,Male Pronouns
650,Simon Bolivar Buckner,1823.0,Male Pronouns
651,John C. Calhoun,1782.0,Male Pronouns
652,"Honório Hermeto Carneiro Leão, Marquis of Paraná",1801.0,Male Pronouns
653,Neville Chamberlain,1869.0,Male Pronouns
654,Happy Chandler,1898.0,Male Pronouns
655,Murray Chotiner,1909.0,Male Pronouns
656,Wesley Clark,1944.0,Male Pronouns
657,Grover Cleveland,1837.0,Male Pronouns
658,Hillary Clinton,2000.0,Female Pronouns
659,Jane Cobden,1851.0,Female Pronouns
660,Martha Layne Collins,1936.0,Female Pronouns
661,Bert Combs,1911.0,Male Pronouns
662,Calvin Coolidge,1872.0,Male Pronouns
663,John Sherman Cooper,1901.0,Male Pronouns
664,Richard Cordray,1959.0,Male Pronouns
665,John J. Crittenden,1787.0,Male Pronouns
666,S. O. Davies,1889.0,Male Pronouns
667,Bill Denny,1872.0,Male Pronouns
668,John Diefenbaker,1895.0,Male Pronouns
669,Benjamin Disraeli,1804.0,Male Pronouns
670,Alec Douglas-Home,1903.0,Male Pronouns
671,Neal Dow,1804.0,Male Pronouns
672,Tom Driberg,1905.0,Male Pronouns
673,Don Dunstan,1926.0,Male Pronouns
674,Early life and military career of John McCain,1967.0,Male Pronouns
675,William Hayden English,1822.0,Male Pronouns
676,Millard Fillmore,1800.0,Male Pronouns
677,Ernie Fletcher,1952.0,Male Pronouns
678,Joseph B. Foraker,1846.0,Male Pronouns
679,Gerald Ford,1913.0,Male Pronouns
680,Wendell Ford,1924.0,Male Pronouns
681,James A. Garfield,1831.0,Male Pronouns
682,William Goebel,1856.0,Male Pronouns
683,Emma Goldman,1919.0,Female Pronouns
684,Horace Greeley,1811.0,Male Pronouns
685,Herbert Greenfield,1869.0,Male Pronouns
686,Mark Hanna,1837.0,Male Pronouns
687,Warren G. Harding,1865.0,Male Pronouns
688,William Harper (Rhodesian politician),1916.0,Male Pronouns
689,Benjamin Harrison,1833.0,Male Pronouns
690,William Henry Harrison,1812.0,Male Pronouns
691,John Hay,1838.0,Male Pronouns
692,Rutherford B. Hayes,1822.0,Male Pronouns
693,John L. Helm,1802.0,Male Pronouns
694,Patrick Henry,1736.0,Male Pronouns
695,Garret Hobart,1844.0,Male Pronouns
696,Margaret Lea Houston,1819.0,Male Pronouns
697,C. D. Howe,1886.0,Male Pronouns
698,Andrew Jackson,1767.0,Male Pronouns
699,Muhammad Ali Jinnah,1876.0,Male Pronouns
700,Andrew Johnson,1808.0,Male Pronouns
701,Keen Johnson,1896.0,Male Pronouns
702,Paul Kagame,1957.0,Male Pronouns
703,George F. Kennan,1904.0,Male Pronouns
704,Jomo Kenyatta,1897.0,Male Pronouns
705,Nikita Khrushchev,1894.0,Male Pronouns
706,Paul Kruger,1825.0,Male Pronouns
707,Ruby Laffoon,1869.0,Male Pronouns
708,Nestor Lakoba,1893.0,Male Pronouns
709,Franklin Knight Lane,1864.0,Male Pronouns
710,George Lansbury,1859.0,Male Pronouns
711,Vladimir Lenin,1917.0,Male Pronouns
712,Leopold Report,1964.0,Plural or Non-binary Pronouns
713,David Lewis (politician),1909.0,Male Pronouns
714,Marcel Lihau,1931.0,Male Pronouns
715,Luo Yixiu,1889.0,Male Pronouns
716,Angus Lewis Macdonald,1890.0,Male Pronouns
717,John A. Macdonald,1891.0,Male Pronouns
718,Gregor MacGregor,1786.0,Male Pronouns
719,Nelson Mandela,1918.0,Male Pronouns
720,Thomas R. Marshall,1854.0,Male Pronouns
721,George Mason,1725.0,Male Pronouns
722,John McCain,2000.0,Male Pronouns
723,James B. McCreary,1838.0,Male Pronouns
724,Bob McEwen,1950.0,Male Pronouns
725,William McKinley,1843.0,Male Pronouns
726,Harvey Milk,1930.0,Male Pronouns
727,Edwin P. Morrow,1877.0,Male Pronouns
728,Ngô Đình Cẩn,1911.0,Male Pronouns
729,Nguyễn Ngọc Thơ,1908.0,Male Pronouns
730,Pat Nixon,1912.0,Female Pronouns
731,Richard Nixon,1946.0,Male Pronouns
732,Louie Nunn,1924.0,Male Pronouns
733,Barack Obama,2004.0,Male Pronouns
734,"José Paranhos, Viscount of Rio Branco",1819.0,Male Pronouns
735,Paul E. Patton,1937.0,Male Pronouns
736,Franklin Peale,1795.0,Male Pronouns
737,Franklin Pierce,1804.0,Male Pronouns
738,Józef Piłsudski,1928.0,Male Pronouns
739,Gabriel Pleydell,1519.0,Male Pronouns
740,Thomas Playford IV,1896.0,Male Pronouns
741,James K. Polk,1795.0,Male Pronouns
742,Premiership of John Edward Brownlee,1925.0,Male Pronouns
743,Vidkun Quisling,1887.0,Male Pronouns
744,Rainilaiarivony,1828.0,Male Pronouns
745,Norodom Ranariddh,1944.0,Male Pronouns
746,Samuel J. Randall,1828.0,Male Pronouns
747,Nancy Reagan,1921.0,Female Pronouns
748,Ronald Reagan,1968.0,Male Pronouns
749,Richard Gavin Reid,1879.0,Male Pronouns
750,Louis Riel,1844.0,Male Pronouns
751,George W. Romney,1907.0,Male Pronouns
752,Mitt Romney,2008.0,Male Pronouns
753,Rise of Neville Chamberlain,1916.0,Male Pronouns
754,Juan Manuel de Rosas,1793.0,Male Pronouns
755,Lawrence Sullivan Ross,1838.0,Male Pronouns
756,Alexander Cameron Rutherford,1857.0,Male Pronouns
757,Charles Scott (governor),1739.0,Male Pronouns
758,William H. Seward,1801.0,Male Pronouns
759,Solomon P. Sharp,1787.0,Male Pronouns
760,Isaac Shelby,1750.0,Male Pronouns
761,Arthur Sifton,1858.0,Male Pronouns
762,Ian Smith,1919.0,Male Pronouns
763,Albert Speer,1905.0,Male Pronouns
764,Augustus Owsley Stanley,1867.0,Male Pronouns
765,Ed Stelmach,1951.0,Male Pronouns
766,Thaddeus Stevens,1792.0,Male Pronouns
767,Charles Stewart (Canadian politician),1975.0,Male Pronouns
768,William Howard Taft,1857.0,Male Pronouns
769,Jeremy Thorpe,1929.0,Male Pronouns
770,Benjamin Tillman,1847.0,Male Pronouns
771,Harry S. Truman,1884.0,Male Pronouns
772,Irakli Tsereteli,1881.0,Male Pronouns
773,George Tucker (politician),1775.0,Male Pronouns
774,John Tyler,1790.0,Male Pronouns
775,John Tyndall (politician),1934.0,Male Pronouns
776,Fakih Usman,1904.0,Male Pronouns
777,P. K. van der Byl,1923.0,Male Pronouns
778,Jerry Voorhis,1901.0,Male Pronouns
779,James B. Weaver,1833.0,Male Pronouns
780,Lawrence Wetherby,1908.0,Male Pronouns
781,Roy Welensky,1907.0,Male Pronouns
782,Thomas White (Australian politician),1888.0,Male Pronouns
783,Gough Whitlam,1916.0,Male Pronouns
784,William Wilberforce,1759.0,Male Pronouns
785,Ellen Wilkinson,1891.0,Female Pronouns
786,Wendell Willkie,1892.0,Male Pronouns
787,Ælfheah of Canterbury,953.0,Male Pronouns
788,Alexander of Lincoln,1148.0,Male Pronouns
789,Augustine of Canterbury,604.0,Male Pronouns
790,Baldwin of Forde,1125.0,Male Pronouns
791,William M. Branham,1909.0,Male Pronouns
792,Martin Bucer,1491.0,Male Pronouns
793,Robert Burnell,1239.0,Male Pronouns
794,John Calvin,1509.0,Male Pronouns
795,Robert de Chesney,1166.0,Male Pronouns
796,Clement of Dunblane,1258.0,Male Pronouns
797,Henry Conwell,1842.0,Male Pronouns
798,Walter de Coutances,1207.0,Male Pronouns
799,Walter de Coventre,1371.0,Male Pronouns
800,Thomas Cranmer,1489.0,Male Pronouns
801,Harold Davidson,1875.0,Male Pronouns
802,Deusdedit of Canterbury,664.0,Male Pronouns
803,Ealdred (archbishop of York),1069.0,Male Pronouns
804,Michael Francis Egan,1814.0,Male Pronouns
805,Gilbert Foliot,1110.0,Male Pronouns
806,Geoffrey (archbishop of York),1152.0,Male Pronouns
807,George Fox,1691.0,Male Pronouns
808,Gerard (archbishop of York),1108.0,Male Pronouns
809,Henry (bishop of Finland),1153.0,Male Pronouns
810,George Went Hensley,1881.0,Male Pronouns
811,Hilary of Chichester,1169.0,Male Pronouns
812,Reginald Heber,1783.0,Male Pronouns
813,L. Ron Hubbard,1911.0,Male Pronouns
814,Anne Hutchinson,1591.0,Female Pronouns
815,Hygeberht,803.0,Male Pronouns
816,Jesus,1622.0,Male Pronouns
817,John de Gray,1214.0,Male Pronouns
818,Jocelin of Glasgow,1199.0,Male Pronouns
819,Robert of Jumièges,1052.0,Male Pronouns
820,Peter Jones (missionary),1909.0,Male Pronouns
821,Justus,627.0,Male Pronouns
822,John Knox,1572.0,Male Pronouns
823,Cosmo Gordon Lang,1864.0,Male Pronouns
824,Laurence of Canterbury,619.0,Male Pronouns
825,William de Longchamp,1197.0,Male Pronouns
826,William Matthews (priest),1770.0,Male Pronouns
827,Madeline Montalban,1910.0,Female Pronouns
828,Maximus the Confessor,1996.0,Male Pronouns
829,William McSherry,1799.0,Male Pronouns
830,Mellitus,624.0,Male Pronouns
831,Ralph Neville,1244.0,Male Pronouns
832,Nigel (bishop of Ely),1100.0,Male Pronouns
833,Ruth Norman,1900.0,Female Pronouns
834,Paulinus of York,644.0,Male Pronouns
835,Elias Abraham Rosenberg,1810.0,Male Pronouns
836,William de St-Calais,1096.0,Male Pronouns
837,Andrew Sledd,1870.0,Male Pronouns
838,Albertus Soegijapranata,1896.0,Male Pronouns
839,Stigand,1072.0,Male Pronouns
840,Charles H. Stonestreet,1813.0,Male Pronouns
841,Theobald of Bec,1090.0,Male Pronouns
842,Thomas of Bayeux,1100.0,Male Pronouns
843,Joseph W. Tkach,1927.0,Male Pronouns
844,Peter Martyr Vermigli,1499.0,Male Pronouns
845,Hubert Walter,1160.0,Male Pronouns
846,William Warelwast,1137.0,Male Pronouns
847,Wilfrid,633.0,Male Pronouns
848,William de Corbeil,1070.0,Male Pronouns
849,William of Tyre,1130.0,Male Pronouns
850,William of Wrotham,1217.0,Male Pronouns
851,Samuel Merrill Woodbridge,1819.0,Male Pronouns
852,Huldrych Zwingli,7908.0,Male Pronouns
853,Abd al-Malik ibn Marwan,646.0,Male Pronouns
854,Áedán mac Gabráin,574.0,Male Pronouns
855,Ælle of Sussex,477.0,Male Pronouns
856,"Æthelbald, King of Wessex",860.0,Male Pronouns
857,Æthelbald of Mercia,757.0,Male Pronouns
858,Æthelberht of Kent,589.0,Male Pronouns
859,"Æthelberht, King of Wessex",860.0,Male Pronouns
860,Æthelflæd,870.0,Female Pronouns
861,Æthelred of Mercia,704.0,Male Pronouns
862,"Æthelred, Lord of the Mercians",911.0,Male Pronouns
863,Æthelstan,894.0,Male Pronouns
864,Æthelwold ætheling,902.0,Male Pronouns
865,"Æthelwulf, King of Wessex",858.0,Male Pronouns
866,"Albert, Prince Consort",1819.0,Male Pronouns
867,Alboin,572.0,Male Pronouns
868,Aldfrith of Northumbria,704.0,Male Pronouns
869,Alexandra of Denmark,1844.0,Female Pronouns
870,Alexander of Greece,1893.0,Male Pronouns
871,"Prince Albert Victor, Duke of Clarence and Avondale",1864.0,Male Pronouns
872,Princess Alice of Battenberg,1885.0,Female Pronouns
873,Al-Mu&#39;tasim,796.0,Male Pronouns
874,Grand Duchess Anastasia Nikolaevna of Russia,1901.0,Female Pronouns
875,Ahmose I,1527.0,Male Pronouns
876,"Pedro Afonso, Prince Imperial of Brazil",1848.0,Male Pronouns
877,"Afonso, Prince Imperial of Brazil",1845.0,Male Pronouns
878,Anna of East Anglia,653.0,Male Pronouns
879,Anne of Denmark,1574.0,Female Pronouns
880,"Anne, Queen of Great Britain",1665.0,Female Pronouns
881,Antiochus X Eusebes,224.0,Male Pronouns
882,Antiochus XI Epiphanes,281.0,Male Pronouns
883,Antiochus XII Dionysus,124.0,Male Pronouns
884,Charles Atangana,1880.0,Male Pronouns
885,Atlanersa,700.0,Male Pronouns
886,Attalus I,197.0,Male Pronouns
887,Augustus,700.0,Male Pronouns
888,Basiliscus,475.0,Male Pronouns
889,Princess Beatrice of the United Kingdom,1857.0,Female Pronouns
890,Beorhtwulf of Mercia,852.0,Male Pronouns
891,Caroline of Ansbach,1737.0,Female Pronouns
892,Cædwalla of Wessex,659.0,Male Pronouns
893,Ceawlin of Wessex,593.0,Male Pronouns
894,"George Calvert, 1st Baron Baltimore",1580.0,Male Pronouns
895,Charles I of England,1600.0,Male Pronouns
896,Charles II of England,1630.0,Male Pronouns
897,Princess Charlotte of Wales,1796.0,Female Pronouns
898,"Rachel Chiesley, Lady Grange",700.0,Female Pronouns
899,"John Churchill, 1st Duke of Marlborough",1650.0,Male Pronouns
900,"Sarah Churchill, Duchess of Marlborough",1660.0,Female Pronouns
901,Cleopatra Selene of Syria,135.0,Female Pronouns
902,Coenred of Mercia,709.0,Male Pronouns
903,Coenwulf of Mercia,796.0,Male Pronouns
904,Constantine II of Scotland,952.0,Male Pronouns
905,David I of Scotland,1124.0,Male Pronouns
906,Diocletian,244.0,Male Pronouns
907,Djedkare Isesi,1077.0,Male Pronouns
908,Domitian,0.0,Male Pronouns
909,"Donnchadh, Earl of Carrick",1169.0,Male Pronouns
910,Eadbald of Kent,616.0,Male Pronouns
911,Eardwulf of Northumbria,790.0,Male Pronouns
912,"Ecgberht, King of Wessex",775.0,Male Pronouns
913,Edward II of England,1284.0,Male Pronouns
914,Edward III of England,1312.0,Male Pronouns
915,Edward VI of England,1537.0,Male Pronouns
916,Edward VII,1910.0,Male Pronouns
917,Edward VIII,1936.0,Male Pronouns
918,Edward the Elder,874.0,Male Pronouns
919,Elagabalus,211.0,Male Pronouns
920,Elizabeth I of England,1558.0,Female Pronouns
921,Elizabeth II,1956.0,Female Pronouns
922,Queen Elizabeth The Queen Mother,1900.0,Female Pronouns
923,"Ernest Augustus, King of Hanover",1771.0,Male Pronouns
924,Demetrius III Eucaerus,124.0,Male Pronouns
925,"John FitzWalter, 2nd Baron FitzWalter",1351.0,Male Pronouns
926,"Frederick III, German Emperor",1831.0,Male Pronouns
927,Prince George of Denmark,1653.0,Male Pronouns
928,George I of Great Britain,1660.0,Male Pronouns
929,George I of Greece,1845.0,Male Pronouns
930,George II of Great Britain,1760.0,Male Pronouns
931,George III of the United Kingdom,1820.0,Male Pronouns
932,George IV of the United Kingdom,1830.0,Male Pronouns
933,George V,1865.0,Male Pronouns
934,George VI,1895.0,Male Pronouns
935,Princess Helena of the United Kingdom,1846.0,Female Pronouns
936,Henry I of England,1068.0,Male Pronouns
937,Henry III of England,1207.0,Male Pronouns
938,Ine of Wessex,670.0,Male Pronouns
939,Isabeau of Bavaria,1370.0,Female Pronouns
940,Ivan Alexander of Bulgaria,1331.0,Male Pronouns
941,James VI and I,1566.0,Male Pronouns
942,James II of England,1685.0,Male Pronouns
943,Abdul Karim (the Munshi),1863.0,Male Pronouns
944,"John, King of England",1166.0,Male Pronouns
945,Nikolai Kulikovsky,1881.0,Male Pronouns
946,Prince Sadruddin Aga Khan,1933.0,Male Pronouns
947,"Princess Louise, Duchess of Argyll",1848.0,Female Pronouns
948,"John Bingham, 7th Earl of Lucan",1934.0,Male Pronouns
949,Manuel I Komnenos,1118.0,Male Pronouns
950,Princess Maria Amélia of Brazil,1831.0,Female Pronouns
951,Marwan I,626.0,Male Pronouns
952,Mary of Teck,1867.0,Female Pronouns
953,Mary II of England,1662.0,Female Pronouns
954,"Mary, Queen of Scots",1542.0,Female Pronouns
955,Empress Matilda,1102.0,Female Pronouns
956,Maximian,250.0,Male Pronouns
957,Catherine de&#39; Medici,1519.0,Female Pronouns
958,"John Mowbray, 3rd Duke of Norfolk",1415.0,Male Pronouns
959,Muhammad I of Granada,1195.0,Male Pronouns
960,Muhammad II of Granada,1235.0,Male Pronouns
961,Muhammad III of Granada,1257.0,Male Pronouns
962,Muhammad ibn Tughj al-Ikhshid,882.0,Male Pronouns
963,Al-Mu&#39;tadid,892.0,Male Pronouns
964,Neferefre,1279.0,Male Pronouns
965,Neferirkare Kakai,120.0,Male Pronouns
966,Nyuserre Ini,1000.0,Male Pronouns
967,Odaenathus,220.0,Male Pronouns
968,Óengus I,732.0,Male Pronouns
969,Offa of Mercia,757.0,Male Pronouns
970,Grand Duchess Olga Alexandrovna of Russia,1882.0,Female Pronouns
971,Grand Duchess Olga Nikolaevna of Russia,1895.0,Female Pronouns
972,Pedro I of Brazil,1798.0,Male Pronouns
973,Pedro II of Brazil,1831.0,Male Pronouns
974,Penda of Mercia,628.0,Male Pronouns
975,Philip I Philadelphus,124.0,Male Pronouns
976,"Hannah Primrose, Countess of Rosebery",1851.0,Female Pronouns
977,Ramesses VI,1156.0,Male Pronouns
978,Ranavalona I,1778.0,Female Pronouns
979,Ranavalona III,1917.0,Female Pronouns
980,Rhys ap Gruffydd,1132.0,Male Pronouns
981,Richard II of England,1367.0,Male Pronouns
982,"William de Ros, 6th Baron Ros",1370.0,Male Pronouns
983,Lady Saigō,1552.0,Female Pronouns
984,Salih ibn Mirdas,1025.0,Male Pronouns
985,Teresa Sampsonia,1668.0,Female Pronouns
986,Seleucus VI Epiphanes,124.0,Male Pronouns
987,Domenico Selvo,1087.0,Male Pronouns
988,Shepseskare,2345.0,Male Pronouns
989,Sheshi,1800.0,Male Pronouns
990,Shunzhi Emperor,1638.0,Male Pronouns
991,Simeon I of Bulgaria,893.0,Male Pronouns
992,"Siward, Earl of Northumbria",1033.0,Male Pronouns
993,"Humphrey Stafford, 1st Duke of Buckingham",1460.0,Male Pronouns
994,Stephen I of Hungary,975.0,Male Pronouns
995,"Stephen, King of England",1135.0,Male Pronouns
996,"Charlotte Stuart, Duchess of Albany",1753.0,Female Pronouns
997,Sviatoslav I of Kiev,943.0,Male Pronouns
998,Teresa Cristina of the Two Sicilies,1822.0,Female Pronouns
999,Tiridates I of Armenia,1848.0,Male Pronouns
1000,Unas,2315.0,Male Pronouns
1001,Princess Victoria of Hesse and by Rhine,1863.0,Female Pronouns
1002,Queen Victoria,1819.0,Female Pronouns
1003,Wallis Simpson,1936.0,Female Pronouns
1004,Wiglaf of Mercia,839.0,Male Pronouns
1005,Wihtred of Kent,670.0,Male Pronouns
1006,"Prince William, Duke of Gloucester",1689.0,Male Pronouns
1007,William III of England,1650.0,Male Pronouns
1008,William IV of the United Kingdom,1837.0,Male Pronouns
1009,William the Conqueror,1066.0,Male Pronouns
1010,Władysław II Jagiełło,1362.0,Male Pronouns
1011,Wulfhere of Mercia,675.0,Male Pronouns
1012,Alexander II Zabinas,150.0,Male Pronouns
1013,Zenobia,240.0,Female Pronouns
1014,Doc Adams,1814.0,Male Pronouns
1015,Nick Adenhart,1986.0,Male Pronouns
1016,Jonathan Agnew,1960.0,Male Pronouns
1017,Gubby Allen,1902.0,Male Pronouns
1018,Tommy Amaker,1965.0,Male Pronouns
1019,Hobey Baker,1918.0,Male Pronouns
1020,Sid Barnes,1916.0,Male Pronouns
1021,Sid Barnes with the Australian cricket team in England in 1948,354.0,Male Pronouns
1022,Kevin Beattie,1953.0,Male Pronouns
1023,Shelton Benjamin,1975.0,Male Pronouns
1024,Moe Berg,1902.0,Male Pronouns
1025,Brian Booth,1933.0,Male Pronouns
1026,Bernard Bosanquet (cricketer),1877.0,Male Pronouns
1027,Luc Bourdon,1987.0,Male Pronouns
1028,Don Bradman,1908.0,Male Pronouns
1029,Don Bradman with the Australian cricket team in England in 1948,1948.0,Male Pronouns
1030,Eric Brewer,1979.0,Male Pronouns
1031,Martin Brodeur,2002.0,Male Pronouns
1032,Neil Brooks,1962.0,Male Pronouns
1033,Bill Brown (cricketer),1912.0,Male Pronouns
1034,William Robinson Brown,1875.0,Male Pronouns
1035,Steve Bruce,1960.0,Male Pronouns
1036,Avery Brundage,1887.0,Male Pronouns
1037,Mike Capel,1961.0,Male Pronouns
1038,Rudolf Caracciola,1901.0,Male Pronouns
1039,Percy Chapman,1900.0,Male Pronouns
1040,Ian Chappell,1943.0,Male Pronouns
1041,Kim Clijsters,1983.0,Female Pronouns
1042,Cliff Clinkscales,2004.0,Male Pronouns
1043,CM Punk,203.0,Male Pronouns
1044,Paul Collingwood,1976.0,Male Pronouns
1045,A. E. J. Collins,1885.0,Male Pronouns
1046,Learie Constantine,1901.0,Male Pronouns
1047,Stan Coveleski,1889.0,Male Pronouns
1048,Ian Craig,1935.0,Male Pronouns
1049,Jack Crawford (cricketer),1886.0,Male Pronouns
1050,Ben Crosby,1868.0,Male Pronouns
1051,Tim Duncan,1997.0,Male Pronouns
1052,Bud Dunn,1918.0,Male Pronouns
1053,Bobby Eaton,1958.0,Male Pronouns
1054,Duncan Edwards,1936.0,Male Pronouns
1055,Thomas Ellison,1867.0,Male Pronouns
1056,Ray Emery,1982.0,Male Pronouns
1057,Peter Evans (swimmer),1961.0,Male Pronouns
1058,Richie Farmer,1969.0,Male Pronouns
1059,Bob Feller,1918.0,Male Pronouns
1060,Percy Fender,1892.0,Male Pronouns
1061,Nikita Filatov,1990.0,Male Pronouns
1062,Theoren Fleury,1968.0,Male Pronouns
1063,Robin Friday,1952.0,Male Pronouns
1064,Dave Gallaher,1873.0,Male Pronouns
1065,Tyrone Garland,1992.0,Male Pronouns
1066,Eddie Gerard,1890.0,Male Pronouns
1067,Adam Gilchrist,1971.0,Male Pronouns
1068,Arthur Gilligan,1894.0,Male Pronouns
1069,Michael Gomez,1977.0,Male Pronouns
1070,George H. D. Gossip,1841.0,Male Pronouns
1071,Arthur Gould (rugby union),1864.0,Male Pronouns
1072,Chris Gragg,1990.0,Male Pronouns
1073,Otto Graham,1921.0,Male Pronouns
1074,Wayne Gretzky,1961.0,Male Pronouns
1075,Orval Grove,1919.0,Male Pronouns
1076,Bryan Gunn,1963.0,Male Pronouns
1077,Ron Hamence with the Australian cricket team in England in 1948,582.0,Male Pronouns
1078,Wally Hammond,1965.0,Male Pronouns
1079,Neil Harvey with the Australian cricket team in England in 1948,1948.0,Male Pronouns
1080,Dominik Hašek,1965.0,Male Pronouns
1081,Lindsay Hassett with the Australian cricket team in England in 1948,563.0,Male Pronouns
1082,George Headley,1909.0,Male Pronouns
1083,Paul Henderson,1943.0,Male Pronouns
1084,Thierry Henry,1977.0,Male Pronouns
1085,Herbie Hewett,1864.0,Male Pronouns
1086,Clem Hill,1877.0,Male Pronouns
1087,Damon Hill,1960.0,Male Pronouns
1088,Lynn Hill,1986.0,Female Pronouns
1089,Bernard Hinault,1954.0,Male Pronouns
1090,George Hirst,1871.0,Male Pronouns
1091,Jack Hobbs,1882.0,Male Pronouns
1092,Rogers Hornsby,1896.0,Male Pronouns
1093,Art Houtteman,1927.0,Male Pronouns
1094,Juwan Howard,1973.0,Male Pronouns
1095,Karmichael Hunt,1986.0,Male Pronouns
1096,Len Hutton,1916.0,Male Pronouns
1097,Derek Jeter,1974.0,Male Pronouns
1098,Jarome Iginla,1977.0,Male Pronouns
1099,Archie Jackson,1929.0,Male Pronouns
1100,Douglas Jardine,1900.0,Male Pronouns
1101,Ian Johnson (cricketer),1917.0,Male Pronouns
1102,Keith Johnson (cricket administrator),1894.0,Male Pronouns
1103,Magic Johnson,1959.0,Male Pronouns
1104,Michael Jordan,1984.0,Male Pronouns
1105,Masako Katsura,0.0,Female Pronouns
1106,Fred Keenor,1894.0,Male Pronouns
1107,Susi Kentikian,1987.0,Female Pronouns
1108,Mark Kerry,1959.0,Male Pronouns
1109,Craig Kieswetter,1987.0,Male Pronouns
1110,Harmon Killebrew,1936.0,Male Pronouns
1111,Roy Kilner,1890.0,Male Pronouns
1112,Bart King,1873.0,Male Pronouns
1113,Sandy Koufax,1935.0,Male Pronouns
1114,Nodar Kumaritashvili,1988.0,Male Pronouns
1115,Cynna Kydd,1981.0,Female Pronouns
