,Name,Year_of_Birth,Most_Common_Pronoun
214,Samantha Smith,1972.0,Female Pronouns
215,Tarrare,1805.0,Male Pronouns
216,Theramenes,404.0,Male Pronouns
217,Thomas the Slav,760.0,Male Pronouns
218,Jean-François-Marie de Surville,1717.0,Male Pronouns
219,Thurisind,560.0,Male Pronouns
220,James Tod,1782.0,Male Pronouns
221,John Treloar (museum administrator),1894.0,Male Pronouns
222,Francis Tresham,1567.0,Male Pronouns
223,Stephen Trigg,1744.0,Male Pronouns
224,Harry R. Truman,1980.0,Male Pronouns
225,Hasekura Tsunenaga,1622.0,Male Pronouns
226,Harriet Tubman,1913.0,Female Pronouns
227,Dick Turpin,1705.0,Male Pronouns
228,Urse d&#39;Abetot,1040.0,Male Pronouns
229,Giovanni Villani,1276.0,Male Pronouns
230,Jovan Vladimir,990.0,Male Pronouns
231,Rudolf Vrba,1924.0,Male Pronouns
232,Francis Walsingham,1532.0,Male Pronouns
233,Yagan,1795.0,Male Pronouns
234,Zhou Tong (archer),1121.0,Male Pronouns
235,Nikita Zotov,1883.0,Male Pronouns
236,"Norman Birkett, 1st Baron Birkett",1883.0,Male Pronouns
237,Richard Barre,1130.0,Male Pronouns
238,Elizabeth Canning,1734.0,Female Pronouns
239,Ronnie Lee Gardner,1961.0,Male Pronouns
240,Robert Garran,1867.0,Male Pronouns
241,William Garrow,1760.0,Male Pronouns
242,Learned Hand,1872.0,Male Pronouns
243,Disappearance of Natalee Holloway,1986.0,Male Pronouns
244,Mathew Charles Lamb,1948.0,Male Pronouns
245,Kenesaw Mountain Landis,1866.0,Male Pronouns
246,Sherman Minton,1890.0,Male Pronouns
247,Albert Pierrepoint,1905.0,Male Pronouns
248,Henry W. Sawyer,1918.0,Male Pronouns
249,Antonin Scalia,1936.0,Male Pronouns
250,Elliott Fitch Shepard,1833.0,Male Pronouns
251,Melford Stevenson,1902.0,Male Pronouns
252,Themes in Maya Angelou&#39;s autobiographies,1993.0,Female Pronouns
253,I Know Why the Caged Bird Sings,1969.0,Female Pronouns
254,Gather Together in My Name,1974.0,Female Pronouns
255,Singin&#39; and Swingin&#39; and Gettin&#39; Merry Like Christmas,1949.0,Female Pronouns
256,The Heart of a Woman,1981.0,Female Pronouns
257,All God&#39;s Children Need Traveling Shoes,1962.0,Female Pronouns
258,A Song Flung Up to Heaven,1965.0,Female Pronouns
259,Mom &amp; Me &amp; Mom,2013.0,Female Pronouns
260,The Autobiography of Malcolm X,1963.0,Male Pronouns
261,Fun Home,2006.0,Female Pronouns
262,History of a Six Weeks&#39; Tour,1817.0,Female Pronouns
263,Rambles in Germany and Italy,1843.0,Female Pronouns
264,A Journey,1994.0,Male Pronouns
265,"Letters Written in Sweden, Norway, and Denmark",1796.0,Female Pronouns
266,The Log from the Sea of Cortez,1940.0,Plural or Non-binary Pronouns
267,Night (book),1960.0,Male Pronouns
268,True at First Light,1999.0,Male Pronouns
269,Lazarus Aaronson,1894.0,Male Pronouns
270,Chinua Achebe,1930.0,Male Pronouns
271,Eliza Acton,1799.0,Female Pronouns
272,Mário de Andrade,1893.0,Male Pronouns
273,Maya Angelou,1928.0,Female Pronouns
274,"Augusta, Lady Gregory",1852.0,Female Pronouns
275,James Robert Baker,1947.0,Male Pronouns
276,Honoré de Balzac,1799.0,Male Pronouns
277,Ann Bannon,1957.0,Female Pronouns
278,Anna Laetitia Barbauld,1775.0,Female Pronouns
279,Natalie Clifford Barney,1876.0,Female Pronouns
280,Enid Blyton,1897.0,Female Pronouns
281,R. V. C. Bodley,1892.0,Male Pronouns
282,Cædmon,684.0,Male Pronouns
283,Neville Cardus,1888.0,Male Pronouns
284,Rachel Carson,1907.0,Female Pronouns
285,Anton Chekhov,1898.0,Male Pronouns
286,Colley Cibber,1671.0,Male Pronouns
287,Brunette Coleman,1955.0,Male Pronouns
288,Noël Coward,1972.0,Male Pronouns
289,Stephen Crane,1871.0,Male Pronouns
290,John Day (printer),1584.0,Male Pronouns
291,Emily Dickinson,1830.0,Female Pronouns
292,Du Fu,712.0,Male Pronouns
293,Early life of Samuel Johnson,1709.0,Male Pronouns
294,Isabelle Eberhardt,1991.0,Female Pronouns
295,Edmund Evans,1887.0,Male Pronouns
296,Zelda Fitzgerald,1900.0,Female Pronouns
297,Ian Fleming,1908.0,Male Pronouns
298,Stella Gibbons,1902.0,Female Pronouns
299,William Gibson,1948.0,Male Pronouns
300,W. S. Gilbert,1836.0,Male Pronouns
301,Joseph Grimaldi,1778.0,Male Pronouns
302,Rufus Wilmot Griswold,1815.0,Male Pronouns
303,Richard Hakluyt,1553.0,Male Pronouns
304,Amir Hamzah,1911.0,Male Pronouns
305,H.D.,1921.0,Female Pronouns
306,Ernest Hemingway,1899.0,Male Pronouns
307,George Herriman,1880.0,Male Pronouns
308,Georgette Heyer,1902.0,Female Pronouns
309,Stanley Holloway,1974.0,Male Pronouns
310,Oliver Wendell Holmes Sr.,1809.0,Male Pronouns
311,E. W. Hornung,1866.0,Male Pronouns
312,Israel the Grammarian,895.0,Male Pronouns
313,Joehana,1923.0,Male Pronouns
314,Joseph Johnson (publisher),1738.0,Male Pronouns
315,Samuel Johnson,1709.0,Male Pronouns
316,James Joyce,1882.0,Male Pronouns
317,Franz Kafka,1883.0,Male Pronouns
318,Lat,,Male Pronouns
319,Ursula K. Le Guin,1929.0,Female Pronouns
320,John Le Mesurier,1973.0,Male Pronouns
321,Dan Leno,1860.0,Male Pronouns
322,Lie Kim Hok,1853.0,Male Pronouns
323,Little Tich,1893.0,Male Pronouns
324,Marie Lloyd,1900.0,Female Pronouns
325,James Russell Lowell,1819.0,Male Pronouns
326,Nigel Kneale,1922.0,Male Pronouns
327,H. C. McNeile,1888.0,Male Pronouns
328,Bruno Maddox,1969.0,Male Pronouns
329,Olivia Manning,1908.0,Female Pronouns
330,Francis Marrash,1866.0,Male Pronouns
331,Master Juba,1848.0,Male Pronouns
332,Frank Matcham,1900.0,Male Pronouns
333,Nancy Mitford,1904.0,Female Pronouns
334,George Moore (novelist),1852.0,Male Pronouns
335,Laurence Olivier,1972.0,Male Pronouns
336,George Robey,1869.0,Male Pronouns
337,Murasaki Shikibu,973.0,Female Pronouns
338,Philitas of Cos,340.0,Male Pronouns
339,Harold Pinter,1930.0,Male Pronouns
340,Edgar Allan Poe,1809.0,Male Pronouns
341,Virginia Eliza Clemm Poe,1822.0,Female Pronouns
342,Ezra Pound,1913.0,Male Pronouns
343,Adelaide Anne Procter,1825.0,Female Pronouns
344,Jean-Joseph Rabearivelo,1901.0,Male Pronouns
345,Ion Heliade Rădulescu,1802.0,Male Pronouns
346,Talbot Baines Reed,1852.0,Male Pronouns
347,Ralph Richardson,1949.0,Male Pronouns
348,J. K. Rowling,500.0,Female Pronouns
349,Olivia Shakespear,1863.0,Female Pronouns
350,William Shakespeare,1564.0,Male Pronouns
351,George Bernard Shaw,1856.0,Male Pronouns
352,Mary Shelley,1797.0,Female Pronouns
353,Mary Martha Sherwood,1775.0,Female Pronouns
354,Asylum confinement of Christopher Smart,1771.0,Male Pronouns
355,John Millington Synge,1871.0,Male Pronouns
356,William Beach Thomas,1868.0,Male Pronouns
357,J. R. R. Tolkien,1892.0,Male Pronouns
358,Sarah Trimmer,1741.0,Female Pronouns
359,Mario Vargas Llosa,2010.0,Male Pronouns
360,Kurt Vonnegut,1922.0,Male Pronouns
361,Hugh Walpole,1934.0,Male Pronouns
362,Evelyn Waugh,1903.0,Male Pronouns
363,Nathaniel Parker Willis,1806.0,Male Pronouns
364,P. G. Wodehouse,1881.0,Male Pronouns
365,Mary Wollstonecraft,1759.0,Female Pronouns
366,W. B. Yeats,1903.0,Male Pronouns
367,Archimedes,287.0,Male Pronouns
368,Georg Cantor,1845.0,Male Pronouns
369,Leonhard Euler,1707.0,Male Pronouns
370,Robert Hues,1553.0,Male Pronouns
371,Émile Lemoine,1840.0,Male Pronouns
372,Emery Molyneux,1598.0,Male Pronouns
373,Emmy Noether,1882.0,Female Pronouns
374,Marian Rejewski,1905.0,Male Pronouns
375,Edward Wright (mathematician),1615.0,Male Pronouns
376,Amy Adams,1974.0,Female Pronouns
377,Ben Affleck,1972.0,Male Pronouns
378,Ike Altgens,1919.0,Male Pronouns
